Distance_(µm),Gray_Value
472.614,364.688
472.961,364.560
473.308,364.473
473.655,364.336
474.002,364.276
474.349,364.168
474.696,364.063
475.043,363.962
475.390,363.858
475.737,363.756
476.084,363.624
476.431,363.521
476.778,363.403
477.125,363.297
477.472,363.204
477.819,363.118
478.166,363.015
478.513,362.901
478.860,362.827
479.207,362.738
479.554,362.638
479.901,362.562
480.248,362.475
480.595,362.423
480.942,362.350
481.289,362.278
481.636,362.249
481.983,362.215
482.330,362.147
482.677,362.075
483.024,362.042
483.371,362.026
483.718,362.014
484.065,362.009
484.412,361.991
484.759,361.994
485.106,361.993
485.453,362.013
485.800,362.040
486.147,362.061
486.494,362.116
486.841,362.154
487.188,362.230
487.535,362.290
487.882,362.382
488.229,362.453
488.576,362.555
488.923,362.652
489.270,362.741
489.617,362.841
489.964,362.943
490.311,363.073
490.658,363.188
491.005,363.307
491.352,363.444
491.699,363.585
492.046,363.733
492.393,363.882
492.740,364.049
493.087,364.212
493.434,364.391
493.781,364.556
494.128,364.730
494.475,364.936
494.822,365.130
495.169,365.337
495.516,365.539
495.863,365.767
496.210,366.004
496.557,366.238
496.904,366.482
497.251,366.728
497.598,366.973
497.945,367.257
498.292,367.524
498.639,367.785
498.986,368.064
499.333,368.352
499.680,368.626
500.027,368.919
500.374,369.215
500.721,369.531
501.068,369.819
501.415,370.109
501.762,370.381
502.109,370.678
502.456,370.940
502.803,371.204
503.150,371.455
503.497,371.689
503.844,371.921
504.191,372.142
504.538,372.352
504.885,372.553
505.232,372.725
505.579,372.881
505.926,372.998
506.273,373.111
506.620,373.199
506.967,373.271
507.314,373.332
507.661,373.361
508.008,373.376
508.355,373.369
508.702,373.343
509.049,373.248
509.396,373.136
509.743,373.037
510.090,372.911
510.437,372.770
510.784,372.571
511.131,372.364
511.478,372.149
511.825,371.917
512.172,371.658
512.519,371.369
512.866,371.074
513.213,370.784
513.560,370.464
513.907,370.098
514.254,369.751
514.601,369.396
514.948,369.027
515.295,368.653
515.642,368.261
515.989,367.879
516.336,367.488
516.683,367.089
517.030,366.690
517.377,366.294
517.724,365.899
518.071,365.495
518.418,365.113
518.765,364.731
519.112,364.361
519.459,364.014
519.806,363.647
520.153,363.269
520.500,362.944
520.847,362.631
521.194,362.324
521.541,362.016
521.888,361.735
522.235,361.469
522.582,361.191
522.929,360.922
523.276,360.683
523.623,360.469
523.970,360.270
524.317,360.085
524.664,359.918
525.011,359.729
525.358,359.549
525.705,359.418
526.052,359.289
526.399,359.180
526.746,359.078
527.093,358.976
527.440,358.885
527.787,358.777
528.134,358.693
528.481,358.615
528.828,358.524
529.175,358.480
529.522,358.451
529.869,358.405
530.216,358.369
530.563,358.340
530.910,358.323
531.257,358.311
531.604,358.312
531.951,358.287
532.298,358.270
532.645,358.264
532.992,358.248
533.339,358.250
533.686,358.256
534.033,358.256
534.380,358.258
534.727,358.266
535.074,358.279
535.421,358.299
535.768,358.335
536.115,358.358
536.462,358.377
536.809,358.393
537.156,358.418
537.503,358.445
537.850,358.489
538.197,358.528
538.544,358.553
538.891,358.593
539.238,358.644
539.585,358.711
539.932,358.750
540.279,358.785
540.626,358.824
540.973,358.859
541.320,358.910
541.667,358.970
542.014,359.011
542.361,359.094
542.708,359.161
543.055,359.216
543.402,359.260
543.749,359.275
544.096,359.319
544.443,359.398
544.790,359.483
545.137,359.535
545.484,359.576
545.831,359.614
546.178,359.690
546.525,359.773
546.872,359.797
547.219,359.825
547.566,359.859
547.913,359.917
