Distance_(µm),Gray_Value
504.538,3928.233
504.885,3927.622
505.232,3927.016
505.579,3926.404
505.926,3925.775
506.273,3925.145
506.620,3924.486
506.967,3923.816
507.314,3923.163
507.661,3922.500
508.008,3921.851
508.355,3921.210
508.702,3920.561
509.049,3919.938
509.396,3919.325
509.743,3918.731
510.090,3918.135
510.437,3917.574
510.784,3917.019
511.131,3916.492
511.478,3916.007
511.825,3915.510
512.172,3915.076
512.519,3914.660
512.866,3914.268
513.213,3913.938
513.560,3913.610
513.907,3913.326
514.254,3913.086
514.601,3912.886
514.948,3912.722
515.295,3912.582
515.642,3912.510
515.989,3912.474
516.336,3912.487
516.683,3912.522
517.030,3912.622
517.377,3912.789
517.724,3912.988
518.071,3913.250
518.418,3913.542
518.765,3913.888
519.112,3914.295
519.459,3914.739
519.806,3915.209
520.153,3915.773
520.500,3916.342
520.847,3916.964
521.194,3917.598
521.541,3918.284
521.888,3918.992
522.235,3919.753
522.582,3920.521
522.929,3921.343
523.276,3922.125
523.623,3922.944
523.970,3923.796
524.317,3924.615
524.664,3925.450
525.011,3926.314
525.358,3927.147
525.705,3928.008
526.052,3928.845
526.399,3929.690
526.746,3930.490
527.093,3931.323
527.440,3932.136
527.787,3932.949
528.134,3933.741
528.481,3934.540
528.828,3935.314
529.175,3936.091
529.522,3936.853
529.869,3937.638
530.216,3938.381
530.563,3939.110
530.910,3939.881
531.257,3940.586
531.604,3941.332
531.951,3942.024
532.298,3942.752
532.645,3943.456
532.992,3944.131
533.339,3944.828
533.686,3945.521
534.033,3946.165
534.380,3946.828
534.727,3947.472
535.074,3948.096
535.421,3948.732
535.768,3949.340
536.115,3949.946
536.462,3950.561
