,bin_center,tail,Phase,dnorm,normalized intensity,Distance_(microns),Gray_Value,Gray_Value_smooth
209,0.675,15,2,0.6749048447100283,0.7039493096307954,466.99227848101265,1025.1468101265823,1025.7072103948344
210,0.725,1,1,0.7249831692270841,0.6445301612708217,473.32660810810813,938.8804054054053,939.1290320025429
211,0.725,2,2,0.7249467680801402,0.6513686387053673,447.33404225352115,949.2698591549296,949.0932091340109
212,0.725,3,2,0.7250000890327197,0.4023974492974127,521.1616790123456,585.7414444444445,586.3234178116026
213,0.725,4,1,0.7251633127423923,0.5724665374598075,486.43209210526317,834.4005921052632,834.1268996914741
214,0.725,5,1,0.7249826973874781,0.7187625971867462,460.65794444444447,1047.4508055555555,1047.2912870434209
215,0.725,6,2,0.7250936032091245,0.5847298232605103,447.27617910447765,851.6886716417911,851.9954315542451
216,0.725,7,1,0.7248892781618038,0.8532556939158797,430.5153529411765,1243.8994411764706,1243.257867557228
217,0.725,8,2,0.7248645894779777,0.5564526274661878,527.714421686747,810.2594457831325,810.793425643912
218,0.725,9,1,0.7249035784765723,0.8218958186025355,493.8585512820512,1197.8539102564102,1197.5641652040706
219,0.725,10,3,0.7249528335976934,0.5849864305089084,531.2554875,852.2504499999999,852.3693276591503
220,0.725,11,3,0.7251851716687877,0.6017212857982046,429.423223880597,876.8496567164179,876.7532733499953
221,0.725,12,1,0.7249822334050152,0.7561878241352249,447.9893285714286,1101.7865714285715,1101.8226639572656
222,0.725,13,1,0.7250308355409276,0.8319987943901571,515.4826296296296,1210.9765061728394,1212.2849625257459
223,0.725,14,2,0.7251677008777111,0.719534178858168,473.763445945946,1049.060662162162,1048.415539703319
224,0.725,15,2,0.7249682547062228,0.6865986073807385,501.5034303797468,1000.732759493671,1000.4259292573739
225,0.775,1,1,0.7750167884534158,0.5776968059268649,505.87192,842.8252266666667,841.7477951246627
226,0.775,2,2,0.7750533962151789,0.6139973123380402,478.1319428571428,894.1361142857143,894.640369430126
227,0.775,3,2,0.774695213680839,0.3688790443198012,556.7649146341463,537.8450365853658,537.4845750197801
228,0.775,4,1,0.775163347512909,0.4909866017153791,519.8511298701299,714.6616363636364,715.4044910575332
229,0.775,5,1,0.7750172509814349,0.6015705104142414,492.3295753424658,876.9478630136987,876.5335822495633
230,0.775,6,2,0.7749062852093656,0.5320441976513123,477.8768636363636,775.2478484848485,775.2285034073025
